rowID,stamp,datetime,hum,newhum,co2
280000,1497825481,2017/6/18 22:38,64.2,35.8,32.8
280998,1497825482,2017/6/18 22:38,64.2,35.8,32.8
282000,1497825483,2017/6/18 22:38,64.2,35.8,32.8
283000,1497825484,2017/6/18 22:38,64.2,35.8,32.8
283999,1497825485,2017/6/18 22:38,64.2,35.8,32.8
284999,1497825486,2017/6/18 22:38,64.2,35.8,32.8
285999,1497825487,2017/6/18 22:38,64.2,35.8,32.8
286999,1497825488,2017/6/18 22:38,64.3,35.7,32.7
287998,1497825489,2017/6/18 22:38,64.3,35.7,32.7
288999,1497825490,2017/6/18 22:38,64.3,35.7,32.7
289999,1497825491,2017/6/18 22:38,64.3,35.7,32.7
290999,1497825492,2017/6/18 22:38,64.3,35.7,32.7
291998,1497825493,2017/6/18 22:38,64.3,35.7,32.7
293000,1497825494,2017/6/18 22:38,64.3,35.7,32.7
293999,1497825495,2017/6/18 22:38,64.4,35.6,32.6
294999,1497825496,2017/6/18 22:38,64.4,35.6,32.6
295998,1497825497,2017/6/18 22:38,64.4,35.6,32.6
296998,1497825498,2017/6/18 22:38,64.4,35.6,32.6
297999,1497825499,2017/6/18 22:38,64.5,35.5,32.5
299000,1497825500,2017/6/18 22:38,64.5,35.5,32.5
300000,1497825501,2017/6/18 22:38,64.5,35.5,32.5
300999,1497825502,2017/6/18 22:38,64.5,35.5,32.5
301999,1497825503,2017/6/18 22:38,64.5,35.5,32.5
302999,1497825504,2017/6/18 22:38,64.5,35.5,32.5
303998,1497825505,2017/6/18 22:38,64.5,35.5,32.5
304999,1497825506,2017/6/18 22:38,64.5,35.5,32.5
305999,1497825507,2017/6/18 22:38,64.5,35.5,32.5
306999,1497825508,2017/6/18 22:38,64.5,35.5,32.5
308000,1497825509,2017/6/18 22:38,64.5,35.5,32.5
309000,1497825510,2017/6/18 22:38,64.5,35.5,32.5
309999,1497825511,2017/6/18 22:38,64.5,35.5,32.5
311000,1497825512,2017/6/18 22:38,64.6,35.4,32.4
311999,1497825513,2017/6/18 22:38,64.6,35.4,32.4
312998,1497825514,2017/6/18 22:38,64.6,35.4,32.4
313999,1497825515,2017/6/18 22:38,64.6,35.4,32.4
314999,1497825516,2017/6/18 22:38,64.6,35.4,32.4
316000,1497825517,2017/6/18 22:38,64.7,35.3,32.3
316999,1497825518,2017/6/18 22:38,64.7,35.3,32.3
318000,1497825519,2017/6/18 22:38,64.7,35.3,32.3
318998,1497825520,2017/6/18 22:38,64.7,35.3,32.3
320000,1497825521,2017/6/18 22:38,64.7,35.3,32.3
320999,1497825522,2017/6/18 22:38,64.7,35.3,32.3
321998,1497825523,2017/6/18 22:38,64.7,35.3,32.3
322998,1497825524,2017/6/18 22:38,64.7,35.3,32.3
323999,1497825525,2017/6/18 22:38,64.7,35.3,32.3
325000,1497825526,2017/6/18 22:38,64.6,35.4,32.4
325999,1497825527,2017/6/18 22:38,64.6,35.4,32.4
326999,1497825528,2017/6/18 22:38,64.6,35.4,32.4
327998,1497825529,2017/6/18 22:38,64.6,35.4,32.4
328999,1497825530,2017/6/18 22:38,64.6,35.4,32.4
330000,1497825531,2017/6/18 22:38,64.5,35.5,32.5
330998,1497825532,2017/6/18 22:38,64.5,35.5,32.5
331999,1497825533,2017/6/18 22:38,64.5,35.5,32.5
332998,1497825534,2017/6/18 22:38,64.4,35.6,32.6
333999,1497825535,2017/6/18 22:38,64.4,35.6,32.6
335000,1497825536,2017/6/18 22:38,64.5,35.5,32.5
335998,1497825537,2017/6/18 22:38,64.5,35.5,32.5
336999,1497825538,2017/6/18 22:38,64.5,35.5,32.5
337999,1497825539,2017/6/18 22:38,64.4,35.6,32.6
338999,1497825540,2017/6/18 22:39,64.4,35.6,32.6
339999,1497825541,2017/6/18 22:39,64.4,35.6,32.6
340999,1497825542,2017/6/18 22:39,64.3,35.7,32.7
341998,1497825543,2017/6/18 22:39,64.3,35.7,32.7
342999,1497825544,2017/6/18 22:39,64.3,35.7,32.7
344000,1497825545,2017/6/18 22:39,64.3,35.7,32.7
344999,1497825546,2017/6/18 22:39,64.2,35.8,32.8
345999,1497825547,2017/6/18 22:39,64.2,35.8,32.8
346999,1497825548,2017/6/18 22:39,64.2,35.8,32.8
347999,1497825549,2017/6/18 22:39,64.2,35.8,32.8
348998,1497825550,2017/6/18 22:39,64.2,35.8,32.8
349999,1497825551,2017/6/18 22:39,64.2,35.8,32.8
350999,1497825552,2017/6/18 22:39,64.2,35.8,32.8
352000,1497825553,2017/6/18 22:39,64.2,35.8,32.8
353000,1497825554,2017/6/18 22:39,64.1,35.9,32.9
353999,1497825555,2017/6/18 22:39,64.1,35.9,32.9
355000,1497825556,2017/6/18 22:39,64.1,35.9,32.9
355999,1497825557,2017/6/18 22:39,64.1,35.9,32.9
356999,1497825558,2017/6/18 22:39,64.1,35.9,32.9
357998,1497825559,2017/6/18 22:39,64.1,35.9,32.9
358999,1497825560,2017/6/18 22:39,64.1,35.9,32.9
360000,1497825561,2017/6/18 22:39,64,36,33
360998,1497825562,2017/6/18 22:39,64,36,33
362000,1497825563,2017/6/18 22:39,64,36,33
362999,1497825564,2017/6/18 22:39,64,36,33
363999,1497825565,2017/6/18 22:39,64,36,33
364999,1497825566,2017/6/18 22:39,64,36,33
365999,1497825567,2017/6/18 22:39,63.9,36.1,33.1
366999,1497825568,2017/6/18 22:39,63.9,36.1,33.1
367998,1497825569,2017/6/18 22:39,64,36,33
368999,1497825570,2017/6/18 22:39,64,36,33
369998,1497825571,2017/6/18 22:39,64,36,33
370999,1497825572,2017/6/18 22:39,64,36,33
371999,1497825573,2017/6/18 22:39,64,36,33
372999,1497825574,2017/6/18 22:39,64,36,33
373999,1497825575,2017/6/18 22:39,64,36,33
375000,1497825576,2017/6/18 22:39,64,36,33
375999,1497825577,2017/6/18 22:39,64,36,33
376998,1497825578,2017/6/18 22:39,64.1,35.9,32.9
377999,1497825579,2017/6/18 22:39,64.1,35.9,32.9
378999,1497825580,2017/6/18 22:39,64.2,35.8,32.8
379999,1497825581,2017/6/18 22:39,64.2,35.8,32.8
380999,1497825582,2017/6/18 22:39,64.2,35.8,32.8
381999,1497825583,2017/6/18 22:39,64.2,35.8,32.8
382999,1497825584,2017/6/18 22:39,64.2,35.8,32.8
383998,1497825585,2017/6/18 22:39,64.2,35.8,32.8
384999,1497825586,2017/6/18 22:39,64.2,35.8,32.8
385999,1497825587,2017/6/18 22:39,64.2,35.8,32.8
386999,1497825588,2017/6/18 22:39,64.2,35.8,32.8
387999,1497825589,2017/6/18 22:39,64.2,35.8,32.8
388999,1497825590,2017/6/18 22:39,64.2,35.8,32.8
389999,1497825591,2017/6/18 22:39,64.2,35.8,32.8
390999,1497825592,2017/6/18 22:39,64.2,35.8,32.8
392000,1497825593,2017/6/18 22:39,64.2,35.8,32.8
392998,1497825594,2017/6/18 22:39,64.2,35.8,32.8
394000,1497825595,2017/6/18 22:39,64.1,35.9,32.9
394999,1497825596,2017/6/18 22:39,64.1,35.9,32.9
396000,1497825597,2017/6/18 22:39,64,36,33
396999,1497825598,2017/6/18 22:39,64,36,33
398000,1497825599,2017/6/18 22:39,64,36,33
398999,1497825600,2017/6/18 22:40,64,36,33
400000,1497825601,2017/6/18 22:40,64,36,33
401000,1497825602,2017/6/18 22:40,64,36,33
401999,1497825603,2017/6/18 22:40,64,36,33
402999,1497825605,2017/6/18 22:40,64,36,33
403998,1497825605,2017/6/18 22:40,63.8,36.2,33.2
404999,1497825607,2017/6/18 22:40,63.8,36.2,33.2
405999,1497825608,2017/6/18 22:40,63.7,36.3,33.3
406999,1497825609,2017/6/18 22:40,63.7,36.3,33.3
407998,1497825610,2017/6/18 22:40,63.7,36.3,33.3
408998,1497825611,2017/6/18 22:40,63.7,36.3,33.3
410000,1497825612,2017/6/18 22:40,63.7,36.3,33.3
410999,1497825613,2017/6/18 22:40,63.7,36.3,33.3
411999,1497825614,2017/6/18 22:40,63.7,36.3,33.3
412999,1497825615,2017/6/18 22:40,63.7,36.3,33.3
413999,1497825616,2017/6/18 22:40,63.7,36.3,33.3
415000,1497825617,2017/6/18 22:40,63.8,36.2,33.2
415998,1497825618,2017/6/18 22:40,63.8,36.2,33.2
417000,1497825619,2017/6/18 22:40,63.6,36.4,33.4
417999,1497825620,2017/6/18 22:40,63.6,36.4,33.4
419000,1497825621,2017/6/18 22:40,63.6,36.4,33.4
419999,1497825622,2017/6/18 22:40,63.7,36.3,33.3
420999,1497825623,2017/6/18 22:40,63.7,36.3,33.3
421999,1497825624,2017/6/18 22:40,63.5,36.5,33.5
422999,1497825625,2017/6/18 22:40,63.5,36.5,33.5
424000,1497825626,2017/6/18 22:40,63.5,36.5,33.5
424999,1497825627,2017/6/18 22:40,63.5,36.5,33.5
425999,1497825628,2017/6/18 22:40,63.5,36.5,33.5
426999,1497825629,2017/6/18 22:40,63.5,36.5,33.5
427999,1497825630,2017/6/18 22:40,63.5,36.5,33.5
428998,1497825631,2017/6/18 22:40,63.5,36.5,33.5
429999,1497825632,2017/6/18 22:40,63.5,36.5,33.5
430999,1497825633,2017/6/18 22:40,63.5,36.5,33.5
432000,1497825634,2017/6/18 22:40,63.6,36.4,33.4
432999,1497825635,2017/6/18 22:40,63.6,36.4,33.4
433998,1497825636,2017/6/18 22:40,63.6,36.4,33.4
434999,1497825637,2017/6/18 22:40,63.6,36.4,33.4
435998,1497825638,2017/6/18 22:40,63.7,36.3,33.3
436999,1497825639,2017/6/18 22:40,63.7,36.3,33.3
437998,1497825640,2017/6/18 22:40,63.7,36.3,33.3
438999,1497825641,2017/6/18 22:40,63.6,36.4,33.4
439999,1497825642,2017/6/18 22:40,63.6,36.4,33.4
440999,1497825643,2017/6/18 22:40,63.6,36.4,33.4
441999,1497825644,2017/6/18 22:40,63.6,36.4,33.4
442999,1497825645,2017/6/18 22:40,63.7,36.3,33.3
444000,1497825646,2017/6/18 22:40,63.7,36.3,33.3
444998,1497825647,2017/6/18 22:40,63.7,36.3,33.3
446000,1497825648,2017/6/18 22:40,63.7,36.3,33.3
446999,1497825649,2017/6/18 22:40,63.7,36.3,33.3
447998,1497825650,2017/6/18 22:40,63.7,36.3,33.3
448999,1497825651,2017/6/18 22:40,63.7,36.3,33.3
449999,1497825652,2017/6/18 22:40,63.7,36.3,33.3
450999,1497825653,2017/6/18 22:40,63.7,36.3,33.3
451998,1497825654,2017/6/18 22:40,63.7,36.3,33.3
452999,1497825655,2017/6/18 22:40,63.7,36.3,33.3
453999,1497825656,2017/6/18 22:40,63.7,36.3,33.3
454999,1497825657,2017/6/18 22:40,63.9,36.1,33.1
